Date,Open,High,Low,Close,Adj Close,Volume
2020-12-08,0.004100,0.004500,0.003560,0.003600,0.003600,29977608
2020-12-09,0.003500,0.003800,0.003400,0.003600,0.003600,12593846
2020-12-10,0.003800,0.004300,0.003500,0.004000,0.004000,37867198
2020-12-11,0.003950,0.004300,0.003700,0.004300,0.004300,17205697
2020-12-14,0.004450,0.004900,0.004400,0.004900,0.004900,56850094
2020-12-15,0.005500,0.007350,0.005000,0.006000,0.006000,76734534
2020-12-16,0.006100,0.007000,0.004200,0.005300,0.005300,35712383
2020-12-17,0.005500,0.005500,0.004800,0.005000,0.005000,14304663
2020-12-18,0.004950,0.005300,0.004100,0.004500,0.004500,15350831
2020-12-21,0.004950,0.005800,0.004200,0.005600,0.005600,19676276
2020-12-22,0.007000,0.007000,0.005300,0.006000,0.006000,33831552
2020-12-23,0.006750,0.007000,0.005500,0.006450,0.006450,21728887
2020-12-24,0.006600,0.008550,0.006500,0.007800,0.007800,23439731
2020-12-28,0.008700,0.011000,0.008600,0.010500,0.010500,74157338
2020-12-29,0.011000,0.016000,0.010000,0.014350,0.014350,130282745
2020-12-30,0.015000,0.016000,0.011200,0.013500,0.013500,41291838
2020-12-31,0.014800,0.014800,0.011000,0.012600,0.012600,38650828
2021-01-04,0.014800,0.015000,0.009000,0.010760,0.010760,46624315
2021-01-05,0.011000,0.011000,0.008000,0.009800,0.009800,29738566
2021-01-06,0.009800,0.009800,0.007900,0.008900,0.008900,28850186
2021-01-07,0.009150,0.012000,0.009100,0.009500,0.009500,48932560
2021-01-08,0.012050,0.012100,0.009500,0.010000,0.010000,28077237
2021-01-11,0.012000,0.022900,0.011750,0.021600,0.021600,281650068
2021-01-12,0.024500,0.025000,0.015100,0.019250,0.019250,196153463
2021-01-13,0.021900,0.029400,0.019200,0.027600,0.027600,156147134
2021-01-14,0.032000,0.038100,0.021100,0.022650,0.022650,207954999
2021-01-15,0.027500,0.027500,0.018500,0.023000,0.023000,66916156
2021-01-19,0.026600,0.026600,0.020000,0.020800,0.020800,48649299
2021-01-20,0.021200,0.021200,0.015000,0.019750,0.019750,80759427
2021-01-21,0.020000,0.020500,0.017900,0.018500,0.018500,32904916
2021-01-22,0.020500,0.020500,0.015800,0.017500,0.017500,51216521
2021-01-25,0.017750,0.018500,0.015000,0.016500,0.016500,48967189
2021-01-26,0.018000,0.022500,0.016100,0.022500,0.022500,71440539
2021-01-27,0.023900,0.023900,0.017200,0.018450,0.018450,44847231
2021-01-28,0.020000,0.021000,0.015500,0.017600,0.017600,35049414
2021-01-29,0.017600,0.018900,0.016000,0.016800,0.016800,27732973
2021-02-01,0.017400,0.018900,0.016700,0.017000,0.017000,26108792
2021-02-02,0.018000,0.018500,0.016000,0.016700,0.016700,21203732
2021-02-03,0.017000,0.017000,0.013500,0.015800,0.015800,53447515
2021-02-04,0.016900,0.016900,0.014800,0.015900,0.015900,36572785
2021-02-05,0.018200,0.018200,0.016000,0.017500,0.017500,29831631
2021-02-08,0.018400,0.022300,0.018000,0.021950,0.021950,75080140
2021-02-09,0.025000,0.035000,0.021000,0.030900,0.030900,132847843
2021-02-10,0.037130,0.050000,0.030900,0.050000,0.050000,125932974
2021-02-11,0.047500,0.062000,0.040000,0.050000,0.050000,90843140
2021-02-12,0.055900,0.056000,0.043600,0.051000,0.051000,46712885
2021-02-16,0.069000,0.234000,0.068000,0.212300,0.212300,331426914
2021-02-17,0.245000,0.396000,0.230100,0.300000,0.300000,286827770
2021-02-18,0.340000,0.370000,0.250100,0.301100,0.301100,159827185
2021-02-19,0.320000,0.345000,0.281000,0.314000,0.314000,102256046
2021-02-22,0.346000,0.659000,0.320000,0.544800,0.544800,229767869
2021-02-23,0.461550,0.490000,0.310000,0.412500,0.412500,177087328
2021-02-24,0.499000,0.499100,0.211000,0.270100,0.270100,337495454
2021-02-25,0.299000,0.310000,0.195000,0.200000,0.200000,230436948
2021-02-26,0.220100,0.280000,0.205000,0.239000,0.239000,126946609
2021-03-01,0.291050,0.291100,0.240500,0.241000,0.241000,78234635
2021-03-02,0.251000,0.252900,0.199000,0.215000,0.215000,74604952
2021-03-03,0.224900,0.228000,0.155000,0.173750,0.173750,90937588
2021-03-04,0.185000,0.186100,0.097500,0.137000,0.137000,185556051
2021-03-05,0.140000,0.179900,0.105000,0.165200,0.165200,125366000
2021-03-08,0.174800,0.189800,0.150000,0.154200,0.154200,76666540
2021-03-09,0.185000,0.185000,0.150000,0.154800,0.154800,60260061
2021-03-10,0.162000,0.162000,0.132000,0.149500,0.149500,50418887
2021-03-11,0.153100,0.153100,0.131000,0.143730,0.143730,41560982
2021-03-12,0.149000,0.169000,0.125100,0.163900,0.163900,42247955
2021-03-15,0.207000,0.287000,0.205000,0.271000,0.271000,188650906
2021-03-16,0.299900,0.340000,0.273000,0.340000,0.340000,102240607
2021-03-17,0.340000,0.415000,0.270000,0.380000,0.380000,104477069
2021-03-18,0.375000,0.495000,0.355000,0.399900,0.399900,130333597
2021-03-19,0.444950,0.487500,0.399800,0.474900,0.474900,96774029
2021-03-22,0.539900,0.599500,0.340000,0.354000,0.354000,255054557
2021-03-23,0.343100,0.349000,0.280000,0.323000,0.323000,128908114
